GENE_ID	UNIPROT_ID	ENSG	ENST	LOEUF_v4	LOEUF-scaled	LOEUF-filtered	LOEUF-AM	LOEUF-INDEL	LOEUF-ANC	GeneBayes	Nei_shet	n_expected_filtered
DPM1	O60762	ENSG00000000419	ENST00000371588	0.996665798431107	0.962404208604777	1.01896023610993	1.01896023610993	0.843322546725188	1.33546774308161	0.0191185	-0.003211354	37.3871548006266
SCYL3	Q8IZE3	ENSG00000000457	ENST00000367771	0.632055982354707	0.660469374861238	0.649194562012834	0.649194562012834	0.597863051767208	0.832796749215753	0.0168735	-0.00753125625	73.1854437410765
C1orf112	Q9NSG2	ENSG00000000460	ENST00000359326	0.87548272093642	0.87548272093642	0.872629180524646	0.872629180524646	0.770762915372553	0.958455325271388	0.00270437	-0.004013069	98.7890447397143
FGR	P09769	ENSG00000000938	ENST00000374005	0.571274691586315	0.522427701496402	0.494318223407862	0.494318223407862	0.500827714728652	0.540539808210737	0.0389382	-0.0119906	69.8159429707243
CFH	P08603	ENSG00000000971	ENST00000367429	0.466515988954048	0.478061166115743	0.466839504092207	0.466839504092207	0.453040915021987	0.597431639472178	0.0332092	-0.01533567	124.069872627882
FUCA2	Q9BTY2	ENSG00000001036	ENST00000002165	1.02823668881419	0.818985813472073	0.828520803348682	0.828520803348682	0.835341400476188	1.03137979303085	0.00171668	-0.0014526675	72.6759548506086
GCLC	P48506	ENSG00000001084	ENST00000650454	0.550381882138045	0.558581863900098	0.54707063910687	0.54707063910687	0.556871999322791	0.695968205555637	0.054433	-0.0127864225	73.971792763974
NFYA	P23511	ENSG00000001167	ENST00000341376	0.742866983654447	0.76232924939141	0.719320420619516	0.719320420619516	0.691330119994293	0.830968134418081	0.0667182	-0.00975604974999999	52.9611324676627
STPG1	Q5TH74	ENSG00000001460	ENST00000337248	1.12469444406787	1.1006992014757	1.10513938068912	1.10513938068912	1.04456054768653	1.21011171669343	0.00079184	-0.000897743775	38.7524561545373
NIPAL3	Q6P499	ENSG00000001461	ENST00000374399	1.0879438545865	1.04539622810272	1.1088365740961	1.1088365740961	1.02997057512811	1.316178736907	0.0108588	-0.00208581225	50.1617017918769
ENPP4	Q9Y6X5	ENSG00000001561	ENST00000321037	0.821747959442369	0.844620276530823	0.823682166737634	0.823682166737634	0.818899547187752	0.938302788532065	0.0137027	-0.00445518525	33.0450845181118
SEMA3F	Q13275	ENSG00000001617	ENST00000002829	0.422105907695719	0.371768458424977	0.384142107146042	0.384142107146042	0.392465491747802	0.458577777889958	0.113767	-0.02372598	111.487037213876
CFTR	P13569	ENSG00000001626	ENST00000003084	1.21570414244983	1.27148415220716	1.29398223980879	1.29398223980879	1.23286822245561	1.39111588033305	0.00044129	-0.00156843175	150.185625566188
ANKIB1	Q9P2G1	ENSG00000001629	ENST00000265742	0.534916123110303	0.575426122106608	0.602025058138388	0.602025058138388	0.57244426473628	0.666781950376987	0.141132	-0.0195276075	94.3013883077279
CYP51A1	Q16850	ENSG00000001630	ENST00000003100	1.17639035844405	1.23236434708883	1.34578354812106	1.34578354812106	1.25365644915877	1.53179309538072	0.00679405	-0.0016428705	37.8958609006142
KRIT1	O00522	ENSG00000001631	ENST00000394505	0.655720918423126	0.723187037115644	0.729469025020958	0.729469025020958	0.711427363177657	0.903343906141402	0.050566	-0.00935505275	74.6688962734492
RAD52	P43351	ENSG00000002016	ENST00000358495	1.17633115880647	1.10391437575682	1.12083891593748	1.12083891593748	1.02845930726778	1.02095247903092	0.00513988	-0.00301557175	58.8119895972757
BAD	Q92934	ENSG00000002330	ENST00000309032	1.89522505231774	1.83361556919286	1.64129592787697	1.64129592787697	0.795387908820265	2.36017331816355	0.00598199	-0.00051030985	15.8307817354852
LAP3	P28838	ENSG00000002549	ENST00000226299	1.01251759452443	1.011506088436	0.981412412616131	0.981412412616131	0.925698265676485	1.2981121810309	0.00478525	-0.0023793845	61.3539626388552
HS3ST1	O14792	ENSG00000002587	ENST00000002596	0.835697357176124	0.698568383495882	0.562017019533649	0.562017019533649	0.566511179416359	0.7362621096039	0.0234988	-0.015486665	28.0475300076736
AOC1	P19801	ENSG00000002726	ENST00000360937	1.28438340004958	1.02602923793704	0.956207094265107	0.956207094265107	0.912145789711096	1.06893220574915	0.00168115	-0.00117286825	78.4123545980583
WNT16	Q9UBV4	ENSG00000002745	ENST00000222462	0.860017204106097	0.787633669847145	0.794862132818058	0.794862132818058	0.733247113757129	1.072937008192	0.00540165	-0.00285653075	38.8600445629039
HECW1	Q76N89	ENSG00000002746	ENST00000395891	0.442954153359842	0.428720628493847	0.415324162693309	0.415324162693309	0.393199383569002	0.457180190479475	0.104282	-0.0189141925	180.529948603211
MAD1L1	Q9Y6D9	ENSG00000002822	ENST00000265854	1.27752222845004	1.27752222845004	0.943314179524496	0.943314179524496	0.918922531853103	1.01646615766589	0.00408272	-0.00229002275	119.610025430288
LASP1	Q14847	ENSG00000002834	ENST00000318008	0.475768511461111	0.449092421617058	0.449502708015733	0.449502708015733	0.454296167287938	0.55580755243718	0.172733	-0.0272420475	40.9126701887947
SNX11	Q9Y5W9	ENSG00000002919	ENST00000359238	0.903252753098601	1.00086734528417	0.984693845299514	0.984693845299514	0.92058853337144	1.10567019052677	0.00378952	-0.00464075375	33.8260105373096
TMEM176A	Q96HP8	ENSG00000002933	ENST00000004103	1.23283553357376	1.06077743380981	1.04155316107134	1.04155316107134	0.998602454886123	1.20662324463331	0.00182362	-0.00218232925	33.1344516868776
M6PR	P20645	ENSG00000003056	ENST00000000412	0.875545732664605	0.851781041603857	0.851481178041446	0.851481178041446	0.777276658253692	1.13248698420861	0.0379674	-0.00541271475	36.2760548315621
CYP26B1	Q9NR63	ENSG00000003137	ENST00000001146	0.407401768329198	0.278260889508365	0.294972249273827	0.294972249273827	0.316405274387877	0.418411669613951	0.0310503	-0.0178310925	53.4395668033169
ICA1	Q05084	ENSG00000003147	ENST00000402384	0.769842623747196	0.591595038613076	0.588826163085745	0.588826163085745	0.582163328032934	0.683096961119407	0.037413	-0.00735969975	92.5037818947124
DBNDD1	Q9H9R9	ENSG00000003249	ENST00000002501	1.59251668622614	1.1188903858822	1.29576965307068	1.29576965307068	1.09315353137561	1.90967114839142	0.0134291	-0.00304135	15.1894578381736
ALS2	Q96Q42	ENSG00000003393	ENST00000264276	0.685341106614686	0.690833230799543	0.680931309012209	0.680931309012209	0.639604565399638	0.798515536841168	0.0271239	-0.00581287925	205.925953685502
CASP10	Q92851	ENSG00000003400	ENST00000286186	1.0035849807932	1.0118212054052	0.947724658319268	0.947724658319268	0.9333798364877	1.16784719640263	0.00066403	-0.00145604175	55.0349391686807
CFLAR	O15519	ENSG00000003402	ENST00000309955	0.403234530785291	0.409670453611528	0.431120304472581	0.431120304472581	0.459482404632936	0.592292644571916	0.0943431	-0.0257974775	54.4850726772705
TFPI	P10646	ENSG00000003436	ENST00000233156	0.715470567933828	0.742135496316479	0.743229118918739	0.743229118918739	0.759201500695451	1.04529913629362	0.0119014	-0.008700987	36.6221480335764
